Vehicles,Hour,DayOfWeek,Month,Junction_2,Junction_3,Junction_4
26,15,1,11,0.0,0.0,0.0
28,16,1,11,0.0,0.0,0.0
26,17,1,11,0.0,0.0,0.0
25,18,1,11,0.0,0.0,0.0
29,19,1,11,0.0,0.0,0.0
26,20,1,11,0.0,0.0,0.0
24,21,1,11,0.0,0.0,0.0
25,22,1,11,0.0,0.0,0.0
20,23,1,11,0.0,0.0,0.0
18,0,2,11,0.0,0.0,0.0
18,1,2,11,0.0,0.0,0.0
13,2,2,11,0.0,0.0,0.0
13,3,2,11,0.0,0.0,0.0
10,4,2,11,0.0,0.0,0.0
12,5,2,11,0.0,0.0,0.0
13,6,2,11,0.0,0.0,0.0
11,7,2,11,0.0,0.0,0.0
13,8,2,11,0.0,0.0,0.0
22,9,2,11,0.0,0.0,0.0
26,10,2,11,0.0,0.0,0.0
27,11,2,11,0.0,0.0,0.0
31,12,2,11,0.0,0.0,0.0
24,13,2,11,0.0,0.0,0.0
23,14,2,11,0.0,0.0,0.0
26,15,2,11,0.0,0.0,0.0
26,16,2,11,0.0,0.0,0.0
24,17,2,11,0.0,0.0,0.0
23,18,2,11,0.0,0.0,0.0
25,19,2,11,0.0,0.0,0.0
26,20,2,11,0.0,0.0,0.0
24,21,2,11,0.0,0.0,0.0
26,22,2,11,0.0,0.0,0.0
24,23,2,11,0.0,0.0,0.0
19,0,3,11,0.0,0.0,0.0
20,1,3,11,0.0,0.0,0.0
18,2,3,11,0.0,0.0,0.0
13,3,3,11,0.0,0.0,0.0
13,4,3,11,0.0,0.0,0.0
9,5,3,11,0.0,0.0,0.0
12,6,3,11,0.0,0.0,0.0
12,7,3,11,0.0,0.0,0.0
15,8,3,11,0.0,0.0,0.0
16,9,3,11,0.0,0.0,0.0
23,10,3,11,0.0,0.0,0.0
24,11,3,11,0.0,0.0,0.0
25,12,3,11,0.0,0.0,0.0
24,13,3,11,0.0,0.0,0.0
26,14,3,11,0.0,0.0,0.0
22,15,3,11,0.0,0.0,0.0
20,16,3,11,0.0,0.0,0.0
20,17,3,11,0.0,0.0,0.0
22,18,3,11,0.0,0.0,0.0
26,19,3,11,0.0,0.0,0.0
22,20,3,11,0.0,0.0,0.0
21,21,3,11,0.0,0.0,0.0
21,22,3,11,0.0,0.0,0.0
21,23,3,11,0.0,0.0,0.0
16,0,4,11,0.0,0.0,0.0
18,1,4,11,0.0,0.0,0.0
19,2,4,11,0.0,0.0,0.0
14,3,4,11,0.0,0.0,0.0
12,4,4,11,0.0,0.0,0.0
13,5,4,11,0.0,0.0,0.0
14,6,4,11,0.0,0.0,0.0
14,7,4,11,0.0,0.0,0.0
13,8,4,11,0.0,0.0,0.0
20,9,4,11,0.0,0.0,0.0
22,10,4,11,0.0,0.0,0.0
26,11,4,11,0.0,0.0,0.0
26,12,4,11,0.0,0.0,0.0
21,13,4,11,0.0,0.0,0.0
23,14,4,11,0.0,0.0,0.0
23,15,4,11,0.0,0.0,0.0
19,16,4,11,0.0,0.0,0.0
19,17,4,11,0.0,0.0,0.0
20,18,4,11,0.0,0.0,0.0
24,19,4,11,0.0,0.0,0.0
18,20,4,11,0.0,0.0,0.0
19,21,4,11,0.0,0.0,0.0
16,22,4,11,0.0,0.0,0.0
17,23,4,11,0.0,0.0,0.0
16,0,5,11,0.0,0.0,0.0
16,1,5,11,0.0,0.0,0.0
10,2,5,11,0.0,0.0,0.0
9,3,5,11,0.0,0.0,0.0
8,4,5,11,0.0,0.0,0.0
7,5,5,11,0.0,0.0,0.0
9,6,5,11,0.0,0.0,0.0
8,7,5,11,0.0,0.0,0.0
12,8,5,11,0.0,0.0,0.0
13,9,5,11,0.0,0.0,0.0
17,10,5,11,0.0,0.0,0.0
14,11,5,11,0.0,0.0,0.0
14,12,5,11,0.0,0.0,0.0
14,13,5,11,0.0,0.0,0.0
14,14,5,11,0.0,0.0,0.0
11,15,5,11,0.0,0.0,0.0
15,16,5,11,0.0,0.0,0.0
13,17,5,11,0.0,0.0,0.0
12,18,5,11,0.0,0.0,0.0
17,19,5,11,0.0,0.0,0.0
18,20,5,11,0.0,0.0,0.0
17,21,5,11,0.0,0.0,0.0
16,22,5,11,0.0,0.0,0.0
15,23,5,11,0.0,0.0,0.0
13,0,6,11,0.0,0.0,0.0
16,1,6,11,0.0,0.0,0.0
11,2,6,11,0.0,0.0,0.0
8,3,6,11,0.0,0.0,0.0
10,4,6,11,0.0,0.0,0.0
10,5,6,11,0.0,0.0,0.0
10,6,6,11,0.0,0.0,0.0
9,7,6,11,0.0,0.0,0.0
11,8,6,11,0.0,0.0,0.0
12,9,6,11,0.0,0.0,0.0
18,10,6,11,0.0,0.0,0.0
14,11,6,11,0.0,0.0,0.0
17,12,6,11,0.0,0.0,0.0
14,13,6,11,0.0,0.0,0.0
14,14,6,11,0.0,0.0,0.0
14,15,6,11,0.0,0.0,0.0
12,16,6,11,0.0,0.0,0.0
14,17,6,11,0.0,0.0,0.0
18,18,6,11,0.0,0.0,0.0
13,19,6,11,0.0,0.0,0.0
16,20,6,11,0.0,0.0,0.0
18,21,6,11,0.0,0.0,0.0
14,22,6,11,0.0,0.0,0.0
14,23,6,11,0.0,0.0,0.0
13,0,0,11,0.0,0.0,0.0
15,1,0,11,0.0,0.0,0.0
11,2,0,11,0.0,0.0,0.0
10,3,0,11,0.0,0.0,0.0
9,4,0,11,0.0,0.0,0.0
8,5,0,11,0.0,0.0,0.0
8,6,0,11,0.0,0.0,0.0
10,7,0,11,0.0,0.0,0.0
11,8,0,11,0.0,0.0,0.0
17,9,0,11,0.0,0.0,0.0
19,10,0,11,0.0,0.0,0.0
22,11,0,11,0.0,0.0,0.0
23,12,0,11,0.0,0.0,0.0
23,13,0,11,0.0,0.0,0.0
24,14,0,11,0.0,0.0,0.0
24,15,0,11,0.0,0.0,0.0
19,16,0,11,0.0,0.0,0.0
19,17,0,11,0.0,0.0,0.0
20,18,0,11,0.0,0.0,0.0
31,19,0,11,0.0,0.0,0.0
25,20,0,11,0.0,0.0,0.0
35,21,0,11,0.0,0.0,0.0
21,22,0,11,0.0,0.0,0.0
24,23,0,11,0.0,0.0,0.0
19,0,1,11,0.0,0.0,0.0
19,1,1,11,0.0,0.0,0.0
18,2,1,11,0.0,0.0,0.0
17,3,1,11,0.0,0.0,0.0
12,4,1,11,0.0,0.0,0.0
10,5,1,11,0.0,0.0,0.0
14,6,1,11,0.0,0.0,0.0
15,7,1,11,0.0,0.0,0.0
14,8,1,11,0.0,0.0,0.0
34,9,1,11,0.0,0.0,0.0
40,10,1,11,0.0,0.0,0.0
38,11,1,11,0.0,0.0,0.0
36,12,1,11,0.0,0.0,0.0
27,13,1,11,0.0,0.0,0.0
48,14,1,11,0.0,0.0,0.0
43,15,1,11,0.0,0.0,0.0
41,16,1,11,0.0,0.0,0.0
35,17,1,11,0.0,0.0,0.0
40,18,1,11,0.0,0.0,0.0
40,19,1,11,0.0,0.0,0.0
40,20,1,11,0.0,0.0,0.0
36,21,1,11,0.0,0.0,0.0
37,22,1,11,0.0,0.0,0.0
35,23,1,11,0.0,0.0,0.0
28,0,2,11,0.0,0.0,0.0
25,1,2,11,0.0,0.0,0.0
19,2,2,11,0.0,0.0,0.0
21,3,2,11,0.0,0.0,0.0
20,4,2,11,0.0,0.0,0.0
15,5,2,11,0.0,0.0,0.0
17,6,2,11,0.0,0.0,0.0
14,7,2,11,0.0,0.0,0.0
19,8,2,11,0.0,0.0,0.0
22,9,2,11,0.0,0.0,0.0
30,10,2,11,0.0,0.0,0.0
26,11,2,11,0.0,0.0,0.0
26,12,2,11,0.0,0.0,0.0
23,13,2,11,0.0,0.0,0.0
23,14,2,11,0.0,0.0,0.0
24,15,2,11,0.0,0.0,0.0
22,16,2,11,0.0,0.0,0.0
24,17,2,11,0.0,0.0,0.0
26,18,2,11,0.0,0.0,0.0
27,19,2,11,0.0,0.0,0.0
22,20,2,11,0.0,0.0,0.0
23,21,2,11,0.0,0.0,0.0
22,22,2,11,0.0,0.0,0.0
22,23,2,11,0.0,0.0,0.0
22,0,3,11,0.0,0.0,0.0
17,1,3,11,0.0,0.0,0.0
15,2,3,11,0.0,0.0,0.0
12,3,3,11,0.0,0.0,0.0
13,4,3,11,0.0,0.0,0.0
9,5,3,11,0.0,0.0,0.0
14,6,3,11,0.0,0.0,0.0
13,7,3,11,0.0,0.0,0.0
15,8,3,11,0.0,0.0,0.0
27,9,3,11,0.0,0.0,0.0
39,10,3,11,0.0,0.0,0.0
40,11,3,11,0.0,0.0,0.0
36,12,3,11,0.0,0.0,0.0
34,13,3,11,0.0,0.0,0.0
33,14,3,11,0.0,0.0,0.0
28,15,3,11,0.0,0.0,0.0
30,16,3,11,0.0,0.0,0.0
26,17,3,11,0.0,0.0,0.0
30,18,3,11,0.0,0.0,0.0
35,19,3,11,0.0,0.0,0.0
38,20,3,11,0.0,0.0,0.0
34,21,3,11,0.0,0.0,0.0
30,22,3,11,0.0,0.0,0.0
27,23,3,11,0.0,0.0,0.0
24,0,4,11,0.0,0.0,0.0
21,1,4,11,0.0,0.0,0.0
16,2,4,11,0.0,0.0,0.0
16,3,4,11,0.0,0.0,0.0
13,4,4,11,0.0,0.0,0.0
11,5,4,11,0.0,0.0,0.0
13,6,4,11,0.0,0.0,0.0
15,7,4,11,0.0,0.0,0.0
17,8,4,11,0.0,0.0,0.0
18,9,4,11,0.0,0.0,0.0
24,10,4,11,0.0,0.0,0.0
41,11,4,11,0.0,0.0,0.0
29,12,4,11,0.0,0.0,0.0
25,13,4,11,0.0,0.0,0.0
25,14,4,11,0.0,0.0,0.0
26,15,4,11,0.0,0.0,0.0
25,16,4,11,0.0,0.0,0.0
24,17,4,11,0.0,0.0,0.0
26,18,4,11,0.0,0.0,0.0
24,19,4,11,0.0,0.0,0.0
28,20,4,11,0.0,0.0,0.0
22,21,4,11,0.0,0.0,0.0
23,22,4,11,0.0,0.0,0.0
18,23,4,11,0.0,0.0,0.0
21,0,5,11,0.0,0.0,0.0
20,1,5,11,0.0,0.0,0.0
15,2,5,11,0.0,0.0,0.0
13,3,5,11,0.0,0.0,0.0
10,4,5,11,0.0,0.0,0.0
10,5,5,11,0.0,0.0,0.0
12,6,5,11,0.0,0.0,0.0
9,7,5,11,0.0,0.0,0.0
11,8,5,11,0.0,0.0,0.0
15,9,5,11,0.0,0.0,0.0
16,10,5,11,0.0,0.0,0.0
16,11,5,11,0.0,0.0,0.0
12,12,5,11,0.0,0.0,0.0
11,13,5,11,0.0,0.0,0.0
14,14,5,11,0.0,0.0,0.0
16,15,5,11,0.0,0.0,0.0
18,16,5,11,0.0,0.0,0.0
13,17,5,11,0.0,0.0,0.0
17,18,5,11,0.0,0.0,0.0
15,19,5,11,0.0,0.0,0.0
19,20,5,11,0.0,0.0,0.0
15,21,5,11,0.0,0.0,0.0
19,22,5,11,0.0,0.0,0.0
15,23,5,11,0.0,0.0,0.0
15,0,6,11,0.0,0.0,0.0
13,1,6,11,0.0,0.0,0.0
14,2,6,11,0.0,0.0,0.0
10,3,6,11,0.0,0.0,0.0
8,4,6,11,0.0,0.0,0.0
9,5,6,11,0.0,0.0,0.0
9,6,6,11,0.0,0.0,0.0
9,7,6,11,0.0,0.0,0.0
9,8,6,11,0.0,0.0,0.0
16,9,6,11,0.0,0.0,0.0
18,10,6,11,0.0,0.0,0.0
18,11,6,11,0.0,0.0,0.0
17,12,6,11,0.0,0.0,0.0
18,13,6,11,0.0,0.0,0.0
14,14,6,11,0.0,0.0,0.0
15,15,6,11,0.0,0.0,0.0
13,16,6,11,0.0,0.0,0.0
15,17,6,11,0.0,0.0,0.0
19,18,6,11,0.0,0.0,0.0
18,19,6,11,0.0,0.0,0.0
21,20,6,11,0.0,0.0,0.0
17,21,6,11,0.0,0.0,0.0
17,22,6,11,0.0,0.0,0.0
15,23,6,11,0.0,0.0,0.0
17,0,0,11,0.0,0.0,0.0
14,1,0,11,0.0,0.0,0.0
13,2,0,11,0.0,0.0,0.0
15,3,0,11,0.0,0.0,0.0
12,4,0,11,0.0,0.0,0.0
12,5,0,11,0.0,0.0,0.0
13,6,0,11,0.0,0.0,0.0
14,7,0,11,0.0,0.0,0.0
13,8,0,11,0.0,0.0,0.0
16,9,0,11,0.0,0.0,0.0
26,10,0,11,0.0,0.0,0.0
21,11,0,11,0.0,0.0,0.0
26,12,0,11,0.0,0.0,0.0
24,13,0,11,0.0,0.0,0.0
26,14,0,11,0.0,0.0,0.0
22,15,0,11,0.0,0.0,0.0
24,16,0,11,0.0,0.0,0.0
26,17,0,11,0.0,0.0,0.0
23,18,0,11,0.0,0.0,0.0
29,19,0,11,0.0,0.0,0.0
31,20,0,11,0.0,0.0,0.0
27,21,0,11,0.0,0.0,0.0
27,22,0,11,0.0,0.0,0.0
26,23,0,11,0.0,0.0,0.0
23,0,1,11,0.0,0.0,0.0
21,1,1,11,0.0,0.0,0.0
19,2,1,11,0.0,0.0,0.0
16,3,1,11,0.0,0.0,0.0
11,4,1,11,0.0,0.0,0.0
11,5,1,11,0.0,0.0,0.0
15,6,1,11,0.0,0.0,0.0
12,7,1,11,0.0,0.0,0.0
12,8,1,11,0.0,0.0,0.0
18,9,1,11,0.0,0.0,0.0
31,10,1,11,0.0,0.0,0.0
42,11,1,11,0.0,0.0,0.0
37,12,1,11,0.0,0.0,0.0
30,13,1,11,0.0,0.0,0.0
33,14,1,11,0.0,0.0,0.0
28,15,1,11,0.0,0.0,0.0
29,16,1,11,0.0,0.0,0.0
28,17,1,11,0.0,0.0,0.0
28,18,1,11,0.0,0.0,0.0
31,19,1,11,0.0,0.0,0.0
28,20,1,11,0.0,0.0,0.0
26,21,1,11,0.0,0.0,0.0
26,22,1,11,0.0,0.0,0.0
27,23,1,11,0.0,0.0,0.0
24,0,2,11,0.0,0.0,0.0
23,1,2,11,0.0,0.0,0.0
20,2,2,11,0.0,0.0,0.0
19,3,2,11,0.0,0.0,0.0
20,4,2,11,0.0,0.0,0.0
16,5,2,11,0.0,0.0,0.0
19,6,2,11,0.0,0.0,0.0
16,7,2,11,0.0,0.0,0.0
17,8,2,11,0.0,0.0,0.0
19,9,2,11,0.0,0.0,0.0
30,10,2,11,0.0,0.0,0.0
44,11,2,11,0.0,0.0,0.0
35,12,2,11,0.0,0.0,0.0
34,13,2,11,0.0,0.0,0.0
31,14,2,11,0.0,0.0,0.0
31,15,2,11,0.0,0.0,0.0
28,16,2,11,0.0,0.0,0.0
34,17,2,11,0.0,0.0,0.0
37,18,2,11,0.0,0.0,0.0
37,19,2,11,0.0,0.0,0.0
34,20,2,11,0.0,0.0,0.0
31,21,2,11,0.0,0.0,0.0
29,22,2,11,0.0,0.0,0.0
28,23,2,11,0.0,0.0,0.0
32,0,3,11,0.0,0.0,0.0
23,1,3,11,0.0,0.0,0.0
20,2,3,11,0.0,0.0,0.0
16,3,3,11,0.0,0.0,0.0
18,4,3,11,0.0,0.0,0.0
17,5,3,11,0.0,0.0,0.0
16,6,3,11,0.0,0.0,0.0
17,7,3,11,0.0,0.0,0.0
18,8,3,11,0.0,0.0,0.0
25,9,3,11,0.0,0.0,0.0
31,10,3,11,0.0,0.0,0.0
32,11,3,11,0.0,0.0,0.0
31,12,3,11,0.0,0.0,0.0
29,13,3,11,0.0,0.0,0.0
31,14,3,11,0.0,0.0,0.0
31,15,3,11,0.0,0.0,0.0
30,16,3,11,0.0,0.0,0.0
28,17,3,11,0.0,0.0,0.0
29,18,3,11,0.0,0.0,0.0
36,19,3,11,0.0,0.0,0.0
29,20,3,11,0.0,0.0,0.0
28,21,3,11,0.0,0.0,0.0
30,22,3,11,0.0,0.0,0.0
29,23,3,11,0.0,0.0,0.0
24,0,4,11,0.0,0.0,0.0
20,1,4,11,0.0,0.0,0.0
15,2,4,11,0.0,0.0,0.0
14,3,4,11,0.0,0.0,0.0
13,4,4,11,0.0,0.0,0.0
8,5,4,11,0.0,0.0,0.0
12,6,4,11,0.0,0.0,0.0
14,7,4,11,0.0,0.0,0.0
15,8,4,11,0.0,0.0,0.0
20,9,4,11,0.0,0.0,0.0
26,10,4,11,0.0,0.0,0.0
26,11,4,11,0.0,0.0,0.0
26,12,4,11,0.0,0.0,0.0
21,13,4,11,0.0,0.0,0.0
26,14,4,11,0.0,0.0,0.0
29,15,4,11,0.0,0.0,0.0
20,16,4,11,0.0,0.0,0.0
22,17,4,11,0.0,0.0,0.0
25,18,4,11,0.0,0.0,0.0
27,19,4,11,0.0,0.0,0.0
26,20,4,11,0.0,0.0,0.0
24,21,4,11,0.0,0.0,0.0
25,22,4,11,0.0,0.0,0.0
21,23,4,11,0.0,0.0,0.0
17,0,5,11,0.0,0.0,0.0
16,1,5,11,0.0,0.0,0.0
15,2,5,11,0.0,0.0,0.0
15,3,5,11,0.0,0.0,0.0
15,4,5,11,0.0,0.0,0.0
8,5,5,11,0.0,0.0,0.0
12,6,5,11,0.0,0.0,0.0
13,7,5,11,0.0,0.0,0.0
12,8,5,11,0.0,0.0,0.0
16,9,5,11,0.0,0.0,0.0
18,10,5,11,0.0,0.0,0.0
17,11,5,11,0.0,0.0,0.0
18,12,5,11,0.0,0.0,0.0
15,13,5,11,0.0,0.0,0.0
21,14,5,11,0.0,0.0,0.0
18,15,5,11,0.0,0.0,0.0
17,16,5,11,0.0,0.0,0.0
17,17,5,11,0.0,0.0,0.0
19,18,5,11,0.0,0.0,0.0
22,19,5,11,0.0,0.0,0.0
18,20,5,11,0.0,0.0,0.0
17,21,5,11,0.0,0.0,0.0
22,22,5,11,0.0,0.0,0.0
17,23,5,11,0.0,0.0,0.0
15,0,6,11,0.0,0.0,0.0
15,1,6,11,0.0,0.0,0.0
11,2,6,11,0.0,0.0,0.0
12,3,6,11,0.0,0.0,0.0
11,4,6,11,0.0,0.0,0.0
8,5,6,11,0.0,0.0,0.0
11,6,6,11,0.0,0.0,0.0
9,7,6,11,0.0,0.0,0.0
8,8,6,11,0.0,0.0,0.0
15,9,6,11,0.0,0.0,0.0
18,10,6,11,0.0,0.0,0.0
18,11,6,11,0.0,0.0,0.0
20,12,6,11,0.0,0.0,0.0
20,13,6,11,0.0,0.0,0.0
20,14,6,11,0.0,0.0,0.0
15,15,6,11,0.0,0.0,0.0
16,16,6,11,0.0,0.0,0.0
16,17,6,11,0.0,0.0,0.0
21,18,6,11,0.0,0.0,0.0
27,19,6,11,0.0,0.0,0.0
26,20,6,11,0.0,0.0,0.0
24,21,6,11,0.0,0.0,0.0
20,22,6,11,0.0,0.0,0.0
20,23,6,11,0.0,0.0,0.0
21,0,0,11,0.0,0.0,0.0
14,1,0,11,0.0,0.0,0.0
16,2,0,11,0.0,0.0,0.0
14,3,0,11,0.0,0.0,0.0
11,4,0,11,0.0,0.0,0.0
11,5,0,11,0.0,0.0,0.0
9,6,0,11,0.0,0.0,0.0
12,7,0,11,0.0,0.0,0.0
16,8,0,11,0.0,0.0,0.0
26,9,0,11,0.0,0.0,0.0
33,10,0,11,0.0,0.0,0.0
35,11,0,11,0.0,0.0,0.0
33,12,0,11,0.0,0.0,0.0
32,13,0,11,0.0,0.0,0.0
28,14,0,11,0.0,0.0,0.0
33,15,0,11,0.0,0.0,0.0
27,16,0,11,0.0,0.0,0.0
24,17,0,11,0.0,0.0,0.0
27,18,0,11,0.0,0.0,0.0
29,19,0,11,0.0,0.0,0.0
26,20,0,11,0.0,0.0,0.0
27,21,0,11,0.0,0.0,0.0
28,22,0,11,0.0,0.0,0.0
26,23,0,11,0.0,0.0,0.0
23,0,1,11,0.0,0.0,0.0
19,1,1,11,0.0,0.0,0.0
18,2,1,11,0.0,0.0,0.0
13,3,1,11,0.0,0.0,0.0
12,4,1,11,0.0,0.0,0.0
13,5,1,11,0.0,0.0,0.0
16,6,1,11,0.0,0.0,0.0
17,7,1,11,0.0,0.0,0.0
23,8,1,11,0.0,0.0,0.0
26,9,1,11,0.0,0.0,0.0
29,10,1,11,0.0,0.0,0.0
28,11,1,11,0.0,0.0,0.0
31,12,1,11,0.0,0.0,0.0
23,13,1,11,0.0,0.0,0.0
28,14,1,11,0.0,0.0,0.0
25,15,1,11,0.0,0.0,0.0
24,16,1,11,0.0,0.0,0.0
27,17,1,11,0.0,0.0,0.0
28,18,1,11,0.0,0.0,0.0
24,19,1,11,0.0,0.0,0.0
29,20,1,11,0.0,0.0,0.0
26,21,1,11,0.0,0.0,0.0
25,22,1,11,0.0,0.0,0.0
23,23,1,11,0.0,0.0,0.0
21,0,2,11,0.0,0.0,0.0
16,1,2,11,0.0,0.0,0.0
16,2,2,11,0.0,0.0,0.0
15,3,2,11,0.0,0.0,0.0
11,4,2,11,0.0,0.0,0.0
9,5,2,11,0.0,0.0,0.0
10,6,2,11,0.0,0.0,0.0
14,7,2,11,0.0,0.0,0.0
17,8,2,11,0.0,0.0,0.0
21,9,2,11,0.0,0.0,0.0
28,10,2,11,0.0,0.0,0.0
30,11,2,11,0.0,0.0,0.0
29,12,2,11,0.0,0.0,0.0
26,13,2,11,0.0,0.0,0.0
26,14,2,11,0.0,0.0,0.0
27,15,2,11,0.0,0.0,0.0
26,16,2,11,0.0,0.0,0.0
23,17,2,11,0.0,0.0,0.0
28,18,2,11,0.0,0.0,0.0
31,19,2,11,0.0,0.0,0.0
26,20,2,11,0.0,0.0,0.0
24,21,2,11,0.0,0.0,0.0
24,22,2,11,0.0,0.0,0.0
21,23,2,11,0.0,0.0,0.0
22,0,3,11,0.0,0.0,0.0
16,1,3,11,0.0,0.0,0.0
13,2,3,11,0.0,0.0,0.0
11,3,3,11,0.0,0.0,0.0
13,4,3,11,0.0,0.0,0.0
12,5,3,11,0.0,0.0,0.0
11,6,3,11,0.0,0.0,0.0
13,7,3,11,0.0,0.0,0.0
11,8,3,11,0.0,0.0,0.0
21,9,3,11,0.0,0.0,0.0
32,10,3,11,0.0,0.0,0.0
33,11,3,11,0.0,0.0,0.0
26,12,3,11,0.0,0.0,0.0
25,13,3,11,0.0,0.0,0.0
30,14,3,11,0.0,0.0,0.0
30,15,3,11,0.0,0.0,0.0
28,16,3,11,0.0,0.0,0.0
25,17,3,11,0.0,0.0,0.0
24,18,3,11,0.0,0.0,0.0
29,19,3,11,0.0,0.0,0.0
31,20,3,11,0.0,0.0,0.0
26,21,3,11,0.0,0.0,0.0
28,22,3,11,0.0,0.0,0.0
21,23,3,11,0.0,0.0,0.0
20,0,4,11,0.0,0.0,0.0
19,1,4,11,0.0,0.0,0.0
14,2,4,11,0.0,0.0,0.0
11,3,4,11,0.0,0.0,0.0
9,4,4,11,0.0,0.0,0.0
11,5,4,11,0.0,0.0,0.0
10,6,4,11,0.0,0.0,0.0
9,7,4,11,0.0,0.0,0.0
16,8,4,11,0.0,0.0,0.0
21,9,4,11,0.0,0.0,0.0
33,10,4,11,0.0,0.0,0.0
29,11,4,11,0.0,0.0,0.0
28,12,4,11,0.0,0.0,0.0
26,13,4,11,0.0,0.0,0.0
27,14,4,11,0.0,0.0,0.0
29,15,4,11,0.0,0.0,0.0
26,16,4,11,0.0,0.0,0.0
27,17,4,11,0.0,0.0,0.0
27,18,4,11,0.0,0.0,0.0
30,19,4,11,0.0,0.0,0.0
24,20,4,11,0.0,0.0,0.0
24,21,4,11,0.0,0.0,0.0
24,22,4,11,0.0,0.0,0.0
23,23,4,11,0.0,0.0,0.0
21,0,5,11,0.0,0.0,0.0
13,1,5,11,0.0,0.0,0.0
16,2,5,11,0.0,0.0,0.0
11,3,5,11,0.0,0.0,0.0
10,4,5,11,0.0,0.0,0.0
8,5,5,11,0.0,0.0,0.0
11,6,5,11,0.0,0.0,0.0
10,7,5,11,0.0,0.0,0.0
16,8,5,11,0.0,0.0,0.0
19,9,5,11,0.0,0.0,0.0
21,10,5,11,0.0,0.0,0.0
25,11,5,11,0.0,0.0,0.0
21,12,5,11,0.0,0.0,0.0
18,13,5,11,0.0,0.0,0.0
18,14,5,11,0.0,0.0,0.0
22,15,5,11,0.0,0.0,0.0
18,16,5,11,0.0,0.0,0.0
16,17,5,11,0.0,0.0,0.0
16,18,5,11,0.0,0.0,0.0
26,19,5,11,0.0,0.0,0.0
28,20,5,11,0.0,0.0,0.0
22,21,5,11,0.0,0.0,0.0
22,22,5,11,0.0,0.0,0.0
21,23,5,11,0.0,0.0,0.0
22,0,6,11,0.0,0.0,0.0
17,1,6,11,0.0,0.0,0.0
13,2,6,11,0.0,0.0,0.0
10,3,6,11,0.0,0.0,0.0
12,4,6,11,0.0,0.0,0.0
12,5,6,11,0.0,0.0,0.0
9,6,6,11,0.0,0.0,0.0
13,7,6,11,0.0,0.0,0.0
14,8,6,11,0.0,0.0,0.0
18,9,6,11,0.0,0.0,0.0
20,10,6,11,0.0,0.0,0.0
21,11,6,11,0.0,0.0,0.0
22,12,6,11,0.0,0.0,0.0
17,13,6,11,0.0,0.0,0.0
20,14,6,11,0.0,0.0,0.0
19,15,6,11,0.0,0.0,0.0
20,16,6,11,0.0,0.0,0.0
20,17,6,11,0.0,0.0,0.0
21,18,6,11,0.0,0.0,0.0
20,19,6,11,0.0,0.0,0.0
22,20,6,11,0.0,0.0,0.0
24,21,6,11,0.0,0.0,0.0
21,22,6,11,0.0,0.0,0.0
18,23,6,11,0.0,0.0,0.0
